"","target","wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","test.pred_lr","test.pred_rf","test.pred_svm"
"2",0,3,3,0,7,6,3,4,4,3,2,16,0,0,0.972222222,0.533333333,1,1,4.333333333,1,0.3333,"0","0","0"
"5",0,16,2,0,3,24,106,1,2,11,0.333333333,151,1,1,0.605263158,0.5,1,6,8.25,2,1.0625,"0","0","0"
"12",0,12,1,0,21,35,66,6,15,9,2,337,0,0,0,0.295454545,0,0,27.08333333,7,2,"1","1","0"
"14",0,6,3,0,2,19,15,2,0,4,1.12,184,0,0,0.8125,0.5,1,1,28.83333333,14,2.8333,"0","0","0"
"17",1,9,1,1,12,51,0,1,11,6,0.714285714,316,0.571428571,1,0,0.377777778,0,0,33.33333333,3,1.6667,"1","1","0"
"18",0,1,1,0,7,1,0,7,0,1,2,1,0,0,0,1,0,0,0,1,1,"0","0","0"
"19",1,5,2,0,11,18,10,4,9,5,2,129,0,0,0.909090909,0.4,1,1,24.8,1,0.6,"0","1","0"
"20",0,6,2,0,11,24,15,4,9,5,2,207,0,0,0.882352941,0.333333333,2,2,33.5,2,0.8333,"0","0","0"
"23",0,9,4,0,5,19,8,1,4,8,0.75,263,1,0,0.75,0.333333333,1,2,28,10,2,"0","0","0"
"25",0,4,4,6,38,7,0,37,1,4,0.666666667,35,1,0,0.928571429,0.666666667,0,0,7.25,1,0.25,"0","0","0"
"27",1,89,1,0,5,123,492,1,4,10,0.80815508,13175,0.382352941,1,0,0.339015152,0,0,146.6516854,209,13.4831,"0","0","0"
"30",1,7,2,0,21,44,0,5,18,6,0.5,427,1,1,0.857142857,0.387755102,1,2,59.42857143,2,0.8571,"0","0","0"
"35",1,9,2,0,9,55,2,0,9,6,0.583333333,476,1,0,0.6,0.377777778,2,2,51.55555556,9,3.1111,"0","0","0"
"41",0,5,1,3,6,6,0,5,1,4,0.625,30,1,1,0,0.466666667,0,0,4.6,2,1,"0","0","0"
"42",0,3,2,0,5,15,0,1,4,2,0.25,116,1,1,0.666666667,0.611111111,0,0,37,2,1,"0","0","0"
"46",1,9,1,0,2,27,18,0,2,7,0.825,236,0.4,0,0,0.4,0,0,24.66666667,5,1.8889,"0","1","0"
"49",0,3,1,1,6,9,1,1,5,1,0.5,52,1,2,0,0.466666667,0,0,15.66666667,1,0.6667,"1","0","0"
"53",0,1,1,0,4,1,0,3,1,1,2,1,0,0,0,1,0,0,0,1,1,"0","0","0"
"54",0,25,1,2,80,46,298,76,5,21,0.166666667,198,1,1,0,0.213333333,0,0,6.88,3,1.04,"1","1","0"
"57",0,24,1,0,11,74,274,11,0,23,0.956521739,731,1,0,0,0.168478261,0,0,29.41666667,8,2.5833,"0","1","0"
"64",1,9,2,0,12,29,34,2,10,7,0.75,199,1,0,0.5625,0.263888889,0,0,21,5,1.4444,"1","1","0"
"70",0,6,1,0,3,6,15,2,1,6,2,6,0,0,0,0.916666667,0,0,0,1,1,"0","0","0"
"71",0,8,2,0,9,39,8,0,9,5,0.5,288,1,0,0.631578947,0.375,1,1,34.75,7,2.25,"0","0","0"
"72",0,4,1,0,0,12,6,0,0,4,2,50,0,0,0,0.5,0,0,11.5,2,1,"0","0","0"
"73",0,3,2,0,2,6,3,0,2,1,2,12,0,0,0.714285714,0.666666667,1,2,3,1,0.6667,"0","0","0"
"74",0,6,1,0,8,30,0,0,8,4,0.333333333,163,1,1,0,0.416666667,0,0,25.66666667,2,1.3333,"1","1","0"
"77",1,6,4,0,6,14,0,2,4,5,0.9,239,1,0,0.75,0.375,1,3,38.5,10,3,"0","0","0"
"85",0,16,1,0,11,52,112,11,0,12,0.826666667,854,0.533333333,0,0,0.226666667,0,0,51.4375,18,4.5625,"0","1","0"
"89",0,1,1,0,2,1,0,2,0,1,2,1,0,0,0,1,0,0,0,1,1,"0","0","0"
"90",1,5,2,0,6,11,8,4,4,5,0.875,37,0.5,0,0.909090909,0.4,0,0,6,1,0.6,"0","0","0"
"93",1,4,1,0,9,14,6,9,0,3,2,66,0,0,0,0.416666667,0,0,15.5,5,1.75,"0","0","0"
"100",0,12,1,0,2,25,0,1,1,12,0.436363636,253,1,0,0,0.395833333,0,0,19.66666667,3,1.3333,"0","0","0"
"102",0,6,1,0,5,34,0,1,4,6,0.4,211,1,1,0,0.5,0,0,33.5,2,1.1667,"0","0","0"
"116",0,1,1,0,6,1,0,5,1,1,2,1,0,0,0,1,0,0,0,1,1,"0","0","0"
"120",0,18,1,0,3,36,133,2,3,18,0.764705882,298,0,1,0,0.333333333,0,0,15.5,4,1.3889,"1","1","0"
"123",0,4,1,0,1,7,0,1,0,4,0.333333333,23,1,0,0,0.625,0,0,4.5,1,0.75,"0","0","0"
"127",0,3,2,0,4,7,3,0,4,3,2,18,0,0,0.714285714,0.5,0,0,5,1,0.6667,"0","0","0"
"128",0,2,1,0,4,2,1,2,2,2,2,2,0,0,0,0.666666667,0,0,0,1,1,"0","0","0"
"131",1,6,1,1,5,17,3,3,2,5,0.4,121,1,0,0,0.388888889,0,0,18.83333333,5,1.8333,"0","0","0"
"135",0,30,1,0,10,60,435,0,10,30,2,133,0,0,0,0.133333333,0,0,3.433333333,1,0.9667,"1","1","0"
"138",0,5,1,0,32,5,10,32,0,5,2,5,0,0,0,0.666666667,0,0,0,1,1,"0","1","0"
"142",0,6,1,0,7,20,9,7,0,4,0.7,185,0.25,0,0,0.4,0,0,29.16666667,6,2,"0","0","0"
"151",0,1,1,0,5,1,0,4,1,1,2,1,0,0,0,1,0,0,0,1,1,"0","0","0"
"153",0,6,1,4,12,18,7,4,8,3,0.666666667,99,1,1,0,0.416666667,0,0,15,4,1.8333,"1","1","0"
"154",0,0,1,0,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,"1","1","0"
"155",1,10,1,0,15,81,9,0,15,5,0.747474747,659,0.727272727,3,0,0.44,0,0,63.8,3,1.2,"0","1","0"
"156",0,3,1,0,9,3,3,8,1,3,2,3,0,0,0,0.666666667,0,0,0,1,1,"0","0","0"
"157",0,4,1,0,6,4,6,6,0,4,2,4,0,0,0,0.5,0,0,0,1,1,"0","0","0"
"160",0,3,2,0,3,6,3,0,3,3,2,17,0,0,0.967741935,0.533333333,0,0,4.666666667,1,0.3333,"0","0","0"
"164",1,9,2,0,18,44,6,4,14,9,0.763888889,415,1,1,0.529411765,0.25,0,0,44.11111111,2,1,"1","1","0"
"167",1,7,3,0,13,31,9,0,13,5,0.5,298,1,0,0.625,0.428571429,0,0,41.28571429,1,0.8571,"1","1","0"
"169",0,5,2,0,8,12,0,4,6,5,0.25,54,1,0,0.909090909,0.433333333,0,0,9.6,1,0.6,"0","0","0"
"171",0,12,3,0,8,30,64,1,7,11,1,93,1,0,0.920454545,0.606060606,1,2,6.583333333,1,0.5833,"0","0","0"
"176",0,1,1,0,3,1,0,2,1,1,2,1,0,0,0,1,0,0,0,1,1,"0","0","0"
"180",1,1,1,0,2,1,0,2,0,0,2,352,0,0,0,0,0,0,276,0,0,"1","1","0"
"181",0,3,2,0,2,14,0,1,1,3,0,42,1,0,0.666666667,0.555555556,0,0,12.66666667,1,0.6667,"0","0","0"
"188",1,5,2,0,11,18,10,4,9,5,2,130,0,0,0.909090909,0.4,1,1,25,1,0.6,"0","1","0"
"196",0,4,3,0,7,26,6,1,6,2,1,132,0,0,0.777777778,0.583333333,2,2,31.75,4,1.25,"0","0","0"
"201",0,4,1,0,6,18,0,0,6,4,0.333333333,74,0,1,0,0.5,0,0,17,3,1.25,"1","0","0"
"205",1,6,2,0,9,15,11,3,8,5,0.8,73,1,0,0.909090909,0.4,0,0,10.83333333,4,1,"0","0","0"
"207",0,18,2,0,4,36,0,1,3,13,0.79144385,375,0.545454545,5,0.375,0.226890756,1,2,19.22222222,1,0.8333,"0","1","0"
"208",0,4,2,0,6,7,6,4,4,4,2,20,0,0,0.9375,0.416666667,0,0,4,1,0.5,"0","0","0"
"210",0,3,2,0,4,8,3,1,3,3,2,23,0,0,0.984615385,0.5,1,1,6.666666667,1,0.3333,"0","0","0"
"212",0,7,2,5,16,23,9,5,11,6,0.5,163,1,0,0.857142857,0.387755102,1,1,22.14285714,1,0.7143,"1","0","0"
"214",0,3,1,0,4,3,3,2,2,3,2,3,0,0,0,0.555555556,0,0,0,1,1,"0","0","0"
"219",1,40,1,0,73,40,780,63,16,40,2,40,0,0,0,0.1875,0,0,0,1,1,"1","1","1"
"220",1,6,3,0,7,12,0,1,6,6,0,98,1,2,0.736842105,0.527777778,0,0,15,1,0.8333,"0","0","0"
"223",0,15,4,0,22,89,51,1,22,11,0.826530612,776,0.857142857,1,0.847826087,0.373333333,2,2,49.8,5,1.4667,"0","0","0"
"224",0,0,1,0,67,0,0,64,4,0,2,0,0,0,0,0,0,0,0,0,0,"1","0","0"
